Archive	﻿StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	project-open-contrib	project-open-contrib_3_TEXT	project-user-count	project-user-count_7_TEXT	project-user-potentl	project-user-potentl_7_TEXT	project-interns	you-github-user	ProjectPseudonym	consent-optional	you-role	leadership-team-size	you-paid	you-paid_5_TEXT	funds-grant-funds	funds-others-pick-up	funds-others-now	funds-others-in-past	future-funding-plans	future-one-year	future-one-year_6_TEXT	future-five-years	future-five-years_6_TEXT	future-cant-maintain	future-cant-maintain_6_TEXT	anything-else
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	Start Date	End Date	Response Type	IP Address	Progress	Duration (in seconds)	Finished	Recorded Date	Response ID	Recipient Last Name	Recipient First Name	[Anonymised]	External Data Reference	Location Latitude	Location Longitude	Distribution Channel	User Language	Is this project still open to contributions from the public? - Selected Choice	Is this project still open to contributions from the public? - Other - Text	"How many users / contributors / community members do you have at the moment?

Estimate if you're not sure. Draw from analytics, GitHub, etc. as appropriate. - Selected Choice"	"How many users / contributors / community members do you have at the moment?

Estimate if you're not sure. Draw from analytics, GitHub, etc. as appropriate. - Other, please specify - Text"	"How many users / contributors / community members would you realistically like to have in the future?

Consider the size of your target audience - for example, if you're creating a community or software for a small niche interest, try to be realistic about the maximum number of people possible. - Selected Choice"	"How many users / contributors / community members would you realistically like to have in the future?

Consider the size of your target audience - for example, if you're creating a community or software for a small niche interest, try to be realistic about the maximum number of people possible. - Other, please specify - Text"	"Have you ever had paid interns working on this project, e.g. through Google Summer of Code, Outreachy, or some other internship scheme? How many? 

Please enter 0 if you have had no interns, or make your best guess if you are not sure. If any interns are working right now, please include them in the total."	[Anonymised]			Is your role in this project the same as it was 6 months ago, when you filled out the previous survey?	How many people, including you, are in the leadership team for this project?	"Is this project part of your job?

Are you paid to work on this project? Select all that apply. - Selected Choice"	"Is this project part of your job?

Are you paid to work on this project? Select all that apply. - Other, please specify - Text"	Is this project linked to grant funding with an end date?	If you leave your role, would you expect others to pick this project up?	How many others are currently paid to work on this project? This does not include interns.	Have others been paid to work on the project in the past? If so, how many? This does not include interns.	future-funding-plans	"In an ideal situation, where do you see your project one year from now?

Assume you have the funding and/or time you wish to spend on this project. - Selected Choice"	"In an ideal situation, where do you see your project one year from now?

Assume you have the funding and/or time you wish to spend on this project. - Other, please specify - Text"	"In an ideal situation, where do you see your project five years from now?

Assume you have the funding and/or time you wish to spend on this project. - Selected Choice"	"In an ideal situation, where do you see your project five years from now?

Assume you have the funding and/or time you wish to spend on this project. - Other, please specify - Text"	"If you find yourself unable to maintain the project any longer, what do you forsee happening?

Select as many as apply to your situation - Selected Choice"	"If you find yourself unable to maintain the project any longer, what do you forsee happening?

Select as many as apply to your situation - Other, please specify - Text"	Final question: Anything you'd like to add that we didn't ask about?
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}"	"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}"	"{""ImportId"":""status""}"	"{""ImportId"":""ipAddress""}"	"{""ImportId"":""progress""}"	"{""ImportId"":""duration""}"	"{""ImportId"":""finished""}"	"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}"	"{""ImportId"":""_recordId""}"	"{""ImportId"":""recipientLastName""}"	"{""ImportId"":""recipientFirstName""}"	[Anonymised]	"{""ImportId"":""externalDataReference""}"	"{""ImportId"":""locationLatitude""}"	"{""ImportId"":""locationLongitude""}"	"{""ImportId"":""distributionChannel""}"	"{""ImportId"":""userLanguage""}"	"{""ImportId"":""QID22""}"	"{""ImportId"":""QID22_3_TEXT""}"	"{""ImportId"":""QID23""}"	"{""ImportId"":""QID23_7_TEXT""}"	"{""ImportId"":""QID24""}"	"{""ImportId"":""QID24_7_TEXT""}"	"{""ImportId"":""QID25_TEXT""}"	[Anonymised]			"{""ImportId"":""QID28_TEXT""}"	"{""ImportId"":""QID29_TEXT""}"	"{""ImportId"":""QID30""}"	"{""ImportId"":""QID30_5_TEXT""}"	"{""ImportId"":""QID31""}"	"{""ImportId"":""QID32""}"	"{""ImportId"":""QID33_TEXT""}"	"{""ImportId"":""QID34_TEXT""}"	"{""ImportId"":""QID35""}"	"{""ImportId"":""QID36""}"	"{""ImportId"":""QID36_6_TEXT""}"	"{""ImportId"":""QID37""}"	"{""ImportId"":""QID37_6_TEXT""}"	"{""ImportId"":""QID39""}"	"{""ImportId"":""QID39_6_TEXT""}"	"{""ImportId"":""QID40_TEXT""}"
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-16 05:07:21	2021-11-16 05:07:21	Survey Preview		100	0	True	2021-11-16 05:07:23	R_1dHx8dM8I9crUnT					[Anonymised]	[Anonymised]	preview	EN																										
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-18 06:26:28	2021-11-18 06:28:06	IP Address	[Anonymised]	100	98	True	2021-11-18 06:28:06	R_1GPxnZdP4T1GqRS			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		1-10		No	[Anonymised]	Project18	Yes	No, I left the project/company	2	Other, please specify	I used to get paid for it.	No	Yes	2	1	No	still active and being maintained/updated by my colleagues		"	still active and being maintained/updated by my community"		"	My colleagues/employees would continue to work on this"		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-18 06:54:56	2021-11-18 06:58:23	IP Address	[Anonymised]	100	206	True	2021-11-18 06:58:23	R_1dG3nI77HFhLAXF			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		20-50		50-100		0	[Anonymised]	Project114	Yes	Yes	2	Yes, as a staff member with a temporary or fixed-term contract		Yes	No	2	0	No	still active and being maintained/updated, me still contributing		still active and being maintained/updated by my colleagues		"	I would continue to provide updates in my free time"		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-18 06:38:32	2021-11-18 07:36:08	IP Address	[Anonymised]	100	3456	True	2021-11-18 07:36:08	R_2WMULRDwHTkLyZo			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		100-1000		1000-10,000		0	[Anonymised]	Project113	Yes	Yes	2	No		No	No	0	6	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		"My community members would keep this project running.,	I would continue to provide updates in my free time"		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-18 07:34:08	2021-11-18 07:37:08	IP Address	[Anonymised]	100	180	True	2021-11-18 07:37:08	R_1dB5Naz7MSDl62r			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		10-20		20-50		1	[Anonymised]	Project83	Yes	yes	2	Yes, as a staff member with a temporary or fixed-term contract		No	No	2	0	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		"	I would continue to provide updates in my free time"		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-18 07:14:51	2021-11-18 07:39:36	IP Address	[Anonymised]	100	1485	True	2021-11-18 07:39:36	R_3Ed5N7VnKLyL0IO			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		10-20		1	[Anonymised]	Project88	Yes	Yes	2	Yes, as a staff member with a temporary or fixed-term contract		Yes	Yes	1	2	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.		Apologies if my responses are not consistent with the last survey.  I don't remember exactly what I entered six months ago (and I can't find a record).
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-18 07:37:23	2021-11-18 07:40:53	IP Address	[Anonymised]	100	209	True	2021-11-18 07:40:54	R_Tb9zXefP9ywinBL			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		100-1000		100-1000		0	[Anonymised]	Project32	Yes	yes	1	Other, please specify	I maintain the repo as independent consultant and with this I sustain the software	No	No	0	1	No	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.		
6+month+open+software+sustainability+survey_November+4,+2022_06.13.zip	2021-11-18 07:35:38	2021-11-18 07:44:27	IP Address	[Anonymised]	100	528	True	2021-11-18 07:44:27	R_Ap42u8Q5B9Llk9b			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		10-20		20-50		40	[Anonymised]	Project110	Yes	yes	4	Yes, as a staff member with a permanent contract		No	Yes	3	6	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.		
